40000 29 515 
23137 5228 S 2
2643 15475 S 2
24899 26172 S 5
23151 9860 D 7
19567 1539 D 8
19646 31469 T 2
33652 12193 S 7
39455 29294 S 4
34521 705 S 17
16180 34753 S 18
20924 18386 D 14
28245 22649 S 6
20540 39505 D 11
27325 31648 D 4
3840 179 D 7
25824 2450 S 8
3154 18514 D 18
13266 11569 T 6
29955 34801 S 8
13801 4373 T 18
3877 39660 D 14
27659 29974 D 16
26504 37436 S 9
39885 6083 T 10
24597 39231 D 16
10800 35485 S 4
26637 12072 T 6
16445 34018 S 1
30029 7412 T 8
37385 12755 T 11
10190 29382 S 16
31817 21587 T 9
20818 20891 S 15
16375 31732 D 9
3804 33081 S 14
23450 16336 S 9
23747 33850 D 2
6604 22107 D 11
7841 30289 T 12
8227 21739 S 4
2630 15750 S 8
7482 31141 T 11
20574 3574 D 7
19909 10211 D 14
4060 30424 D 18
8883 11565 D 15
38205 32434 T 13
14173 17855 D 3
33604 1542 D 10
29035 39579 D 9
39504 25660 T 4
35871 20186 D 2
6962 29612 S 4
37528 16160 D 1
8593 34352 S 6
12206 26693 D 3
24586 17131 T 12
13061 8318 T 2
30330 29561 D 10
9746 4098 D 18
30062 18481 T 8
34640 10523 S 2
4874 14539 S 18
1231 3675 S 7
17157 18837 D 15
23506 15366 D 13
4926 23813 D 17
24262 11571 S 5
30051 5688 D 7
12562 14288 T 11
28826 32031 D 18
32057 6457 D 13
21645 714 T 3
12432 31266 S 16
15078 11723 T 12
23293 1518 S 1
3557 4629 D 3
18916 4067 S 12
32450 17123 S 6
19931 35427 D 11
32492 25852 S 19
13469 22062 S 1
33784 32419 S 5
30288 30603 S 14
35232 13859 D 6
17926 39866 D 7
16988 5091 D 3
517 21302 D 6
3505 1571 T 19
19984 1970 T 4
34389 22461 S 2
13063 13965 S 14
24176 24833 S 13
24698 29736 S 16
34826 36410 S 3
14064 26153 T 15
27723 8041 D 10
10011 29116 D 4
11576 5020 D 5
15336 36649 S 17
21481 780 D 17
30515 3141 T 19
35903 31875 T 1
18027 27145 T 15
35185 7482 D 14
36597 20335 T 15
25354 20427 S 5
13427 11150 D 11
11930 34514 T 9
37655 30709 T 16
22583 26578 T 10
13722 20110 D 13
27591 37922 D 15
18256 1806 D 11
18584 10578 T 17
18079 37201 T 18
31714 17058 D 3
7766 5643 D 1
32221 15501 S 16
35611 11776 T 17
9698 7061 D 12
8866 25155 S 15
32084 24915 T 10
22115 39079 S 15
12488 21677 T 3
23672 11527 S 10
27028 19669 S 11
31444 14793 T 12
21853 38634 D 3
20140 9711 D 6
34625 26679 T 12
22109 15259 S 6
33288 19169 D 17
30696 7210 D 13
26878 32794 T 18
7586 31605 T 9
26590 33963 T 7
3673 23728 D 3
6759 37690 D 16
9300 34657 T 15
10177 27368 S 5
34578 30506 T 13
19652 713 D 9
32318 37350 S 13
31312 22237 T 15
2317 940 S 2
34981 33724 D 5
24732 10460 D 7
34179 4524 T 15
35029 39781 T 12
494 31746 S 9
29095 3999 T 14
22587 22761 T 19
20052 30431 S 14
24154 13678 S 15
24137 4291 D 13
8814 32276 T 11
28408 39041 T 13
27138 5846 T 15
9844 11540 D 16
34300 33789 T 17
20571 36718 S 12
10395 30455 S 6
34746 10105 D 13
38732 1675 D 4
715 11331 T 2
17176 19511 D 18
27402 22483 T 17
12623 29486 D 2
26203 7194 S 19
37648 4230 D 5
14334 25732 S 4
27406 28760 S 18
90 1652 D 7
17514 5465 T 10
27947 16438 T 8
2275 8074 S 10
15267 24382 S 8
28611 37961 D 3
23692 30314 T 14
19073 1621 T 3
39625 597 T 7
6061 26120 T 15
2557 1371 T 6
5796 17392 D 15
1773 142 D 8
38102 28338 S 19
18651 27447 S 17
25419 21162 T 17
18110 35072 D 7
21191 20585 S 16
18307 34512 S 11
11903 39997 T 2
36490 31843 D 1
20180 15494 D 13
2940 38328 S 14
15841 31549 S 15
22973 8285 T 4
25221 21705 S 19
12568 30951 S 18
30947 21849 D 13
10044 23960 T 14
39453 27466 S 12
22145 3717 S 2
31617 29559 S 11
34196 39110 T 6
17166 24773 D 4
15723 35980 T 2
14181 1401 D 6
25360 8836 S 5
32653 32554 S 1
32622 36066 D 8
21977 37418 T 5
32879 2986 S 8
24110 290 S 13
36269 6681 S 19
4433 29661 D 8
34848 5470 S 17
34375 19919 S 1
12337 11428 S 1
5198 35469 T 3
34807 31478 T 2
31767 599 D 3
7280 14304 D 14
316 25860 T 3
27681 37867 S 9
14137 14015 T 6
25442 5693 D 6
37514 20324 T 16
8154 29538 T 14
30136 22686 D 9
33341 15495 D 11
37706 32390 D 16
30256 36890 T 5
10904 38251 S 19
295 4353 T 10
24677 4754 S 6
30643 37714 D 14
16751 9760 D 2
21606 9079 T 16
1468 21623 T 15
18512 33895 T 1
28497 19683 S 18
24035 1800 D 11
2906 9430 T 16
3495 26993 D 10
36752 14279 T 17
19709 26787 T 14
8409 31418 S 18
21664 38069 D 6
17751 34800 T 11
32951 18254 S 5
24035 1092 S 10
28084 25489 S 14
39767 27165 S 7
13952 26265 T 15
14034 2606 D 6
675 18319 D 18
9470 1160 S 7
15766 19762 T 18
20853 5791 T 8
31280 16862 D 8
4026 18720 D 8
4984 36580 T 4
39186 2320 D 13
16991 13274 T 4
10785 23902 D 14
3663 5268 T 11
7410 31790 T 11
8651 8979 S 4
27698 25663 S 10
18595 23693 T 16
22364 8169 T 7
21442 21330 D 14
5231 36453 S 11
38072 23237 D 4
15026 12264 S 6
21242 19312 D 16
1327 19708 S 16
39752 31427 S 15
39596 8042 T 16
25723 36338 T 1
29142 13799 S 4
33387 18661 S 15
27276 25920 T 2
5232 17495 D 3
33554 835 D 12
32261 20529 T 19
24922 33240 T 7
29577 11563 S 10
21713 26851 D 1
1863 27681 T 16
13601 8303 T 13
22150 519 T 18
37705 922 T 17
17802 24427 D 7
17666 23769 T 14
31683 371 T 1
23573 17298 D 3
4978 4710 T 15
9364 37635 T 4
38153 4557 S 4
1830 12575 D 9
37001 33049 D 9
13169 24775 S 7
21497 29625 D 1
6922 35797 D 2
36858 34130 T 9
31764 5998 D 12
10554 34005 S 14
6579 33353 D 3
26401 7071 S 8
28197 18262 S 3
4238 11723 S 10
3871 30671 D 15
24800 35295 S 1
1292 30089 T 10
24093 14011 D 19
7363 5298 S 1
8720 37900 T 8
12513 26808 D 15
34882 6776 D 15
37446 24 T 7
35318 31835 T 5
18275 27047 T 6
37409 14443 S 13
19740 16343 T 2
10594 20921 S 18
4081 17391 T 6
20518 24118 T 3
20493 18952 D 5
7138 20777 T 3
4175 2633 T 17
17075 9873 S 17
22567 30295 D 6
7568 39704 D 7
13446 8827 S 18
29296 30082 S 19
9034 37543 D 10
14671 19776 S 14
18760 18418 S 13
24643 12190 T 12
2484 3330 D 8
39385 9339 T 18
18165 21363 S 4
7796 11424 D 15
8966 31900 D 9
11675 19990 T 9
34760 8316 T 14
20505 7972 T 7
7653 19683 S 5
29021 7440 S 15
25154 23013 D 1
30788 24596 T 3
12847 24537 S 18
879 11275 S 13
19590 30278 S 15
34601 30704 D 7
10386 5176 D 1
8967 25510 S 4
8522 10292 D 9
31239 22255 D 19
3144 11504 D 2
22778 28967 D 6
19244 3753 T 7
34456 14598 T 9
16125 21739 S 8
7248 36247 T 11
2890 35337 S 18
13943 39545 D 2
11048 8578 T 17
37544 13469 S 16
17221 24061 D 4
35011 39431 D 10
21169 2525 S 17
38771 4493 S 10
39829 4670 S 5
566 15761 T 17
20690 1020 S 4
10840 23391 S 10
3803 18352 S 18
17782 38014 S 12
538 35229 T 15
39722 13311 S 3
17980 14867 S 16
26979 25938 D 16
23309 21005 T 14
4395 13622 T 15
28325 7352 S 6
5365 6013 T 9
1241 14183 T 3
27493 24288 S 10
39154 35592 T 14
17881 39584 D 17
20588 16050 S 2
26023 10248 T 17
17600 25595 T 16
31607 10917 T 12
21451 15834 T 11
121 16080 D 13
8024 23841 S 11
23424 15555 S 9
27956 15133 D 12
21732 3929 S 11
29524 37833 D 13
8750 36568 D 14
8753 29546 T 17
1977 2614 T 8
26454 18960 D 1
30866 8404 T 6
19888 24638 S 4
24919 13827 S 9
11660 12300 D 6
5219 34956 T 11
20853 38807 S 2
1420 12751 D 7
28062 6844 S 12
15247 37045 T 2
21682 26899 S 10
725 30405 T 15
39056 5668 T 11
36975 28808 S 7
23966 26496 T 4
35598 11595 T 4
18438 36416 T 16
33460 36685 D 2
19935 10977 T 8
37733 28189 T 2
30208 7595 D 2
36402 12010 T 18
34858 27423 T 13
35369 769 S 14
37184 9403 S 3
2439 25363 D 12
36339 5635 D 18
30176 21483 T 14
25429 28273 T 15
36634 37980 D 11
21754 33355 D 11
34123 25115 T 19
30869 31122 S 8
16484 2194 S 2
7829 7768 S 5
25603 26807 T 3
11431 15006 D 12
12986 24112 T 15
13818 10556 T 10
32022 35493 S 4
22967 39304 T 13
1498 28228 T 17
32348 4572 D 2
27730 14770 S 17
29776 14544 S 10
35008 35835 T 13
2743 34768 T 14
26612 1417 D 3
37073 30202 D 9
14781 10355 T 5
11278 631 T 8
15400 3113 S 14
14008 34447 S 2
26634 34490 T 14
29257 23660 S 11
21428 30848 D 10
17401 27177 T 14
37531 14019 T 17
14649 13442 D 11
12906 35037 T 12
25835 35862 D 15
30351 39175 D 8
19186 7742 D 17
38589 6327 T 13
33503 28885 S 3
2904 36535 D 14
6328 33062 D 10
24450 35527 S 5
31388 27481 T 7
23007 2706 T 12
10447 18577 T 1
24904 18268 S 10
7153 22251 S 7
18785 31038 D 11
20451 27911 S 5
23437 39546 T 8
27026 16047 T 4
18752 23312 D 16
38240 7731 D 8
25998 8666 D 1
30916 32747 S 9
20136 16220 D 1
4130 31861 S 9
31406 2429 T 19
18475 20709 D 14
372 29742 D 4
37472 6418 D 17
11435 8710 S 19
37808 5231 S 4
17802 35917 D 6
27777 13071 S 5
11851 33644 D 18
10704 18780 D 1
8521 35736 D 12
38505 20495 T 15
25556 31486 S 4
33069 9744 D 2
5660 12538 D 14
25608 27704 S 13
17700 6582 S 12
21713 742 D 2
32829 5515 D 15
26009 11092 D 16
2577 35318 S 15
5062 28934 T 15
1471 32019 S 7
19722 9478 T 5
12411 37726 D 18
38468 21653 D 16
27167 2340 T 1
13431 5659 S 2
977 12367 D 15
1300 3574 T 12
31944 6322 T 14
12151 39791 S 1
33869 27613 S 6
9265 28448 T 13
30787 28019 T 16
30030 23398 T 2
32116 9987 S 5
13560 35560 T 11
38234 7793 D 11
3935 15308 T 17
2920 2685 T 16
31133 39177 S 2
27195 3626 T 13
23375 24471 T 1
34457 27031 D 14
18943 30497 S 19
34641 16092 D 14
31400 11560 D 14
10596 22868 D 11
18396 36876 T 19
502 35190 S 2
19660 12802 D 12
39833 33678 T 14
20526 17408 D 16
33499 8916 T 16
16827 6471 D 18
25690 11127 S 19
8002 38204 D 9
33393 17896 S 16
30697 17152 D 19
7181 31057 D 19
8464 27012 S 13
35928 5669 S 3
12140 35132 T 1
2610 14734 D 3
12937 644 T 2
18539 33252 D 13
6755 24660 T 5
12068 30826 T 16
17838 26272 S 8
31941 34761 S 2
26245 8454 D 18
19539 29229 T 9
29872 3987 D 15
37238 36297 S 15
17308 39168 T 3
29993 8623 S 3
34895 17807 S 13
12568 29872 T 6
34677 18229 S 12
7458 16186 T 5
20172 30901 D 10
27197 5143 T 6
662 28384 T 1
33358 32840 S 16
10646 5485 S 2
31708 27759 S 5
2340 38745 S 3
14930 36343 D 3
27243 34623 T 4
36117 19318 S 6
4053 1875 S 1
34714 14971 D 14
16807 26155 S 11
13914 3300 S 11
2044 24552 T 13
20894 18581 S 14
9556 6341 T 6
22010 30571 D 19
28797 26233 D 19
37555 38189 D 5
20695 10145 D 12
9796 6829 S 11
27732 22316 D 6
37249 22643 S 12
25336 28389 S 7
15311 14924 D 17
37508 5934 T 15
474 9190 D 7
19335 25001 T 18
28181 12043 T 6
30711 18835 S 3
1478 30351 S 12
18739 3588 T 15
14864 16619 T 11
22552 14828 S 15
24018 5911 S 10
30911 9024 T 6
21066 29801 T 4
4988 8595 D 14
38945 27199 T 4
27139 16489 D 12
33108 35295 S 17
6475 10860 D 13
16770 35580 S 15
4603 22675 S 13
8828 7182 S 16
12128 26233 T 14
13432 2611 T 8
19099 22247 S 2
13894 5998 D 5
16858 15604 D 4
7535 1053 T 14
20079 9838 D 17
13372 20655 D 1
6888 12054 T 1
11016 10734 D 11
32981 8866 S 14
14863 15592 T 13
31195 30803 D 4
31855 12061 T 7
21899 37725 D 8
14731 32614 S 3
4668 6395 D 6
17128 4583 S 1
13448 33525 S 13
5468 33277 D 7
24079 34432 T 8
2845 35312 D 13
29388 17760 S 5
10373 33483 T 2
39877 13079 D 2
17662 21927 S 8
11803 29501 T 3
22777 28505 S 6
19288 38379 S 18
33690 36061 S 16
10172 19589 S 15
13072 1986 T 1
11416 11714 D 16
29993 2472 S 10
31972 25012 T 14
9868 25701 D 12
20432 26151 D 7
22211 10865 S 3
30453 9800 S 3
11785 33918 D 9
5632 31831 S 9
34302 17870 T 8
39233 9187 D 7
34887 8031 D 18
34181 2246 D 7
9462 12044 D 10
21843 7108 S 17
1025 1669 T 16
29852 14510 T 6
28731 32401 D 6
1587 502 D 16
4884 28023 D 17
26620 26637 S 12
38680 13285 S 7
20392 21193 S 3
19214 16381 D 10
27243 23054 T 11
15454 32698 S 15
29551 33703 T 11
18077 10711 T 1
37347 1658 D 1
14942 18533 D 10
39725 19750 S 18
32482 37523 S 19
20577 13923 D 16
2972 32336 S 15
22391 11990 D 1
19052 16807 S 2
18464 31348 T 13
9880 18025 S 15
34126 34540 T 7
28415 5600 S 2
15874 34731 S 14
23418 39849 T 7
8190 34675 S 10
11481 493 T 14
31841 5116 T 6
19492 37492 S 8
32032 21626 S 19
27225 39258 S 11
33988 16215 T 13
16064 29661 D 13
20687 22191 T 3
22683 7835 T 13
9303 30867 S 4
28358 9326 S 9
30951 38986 T 19
38243 12029 S 1
28244 32270 S 13
18282 25550 S 7
7740 32756 D 11
36943 2302 D 11
33168 6595 S 5
15921 33800 T 7
29137 24507 T 17
36536 28077 S 3
16698 14650 S 7
199 6699 S 6
39455 14137 D 14
16438 28713 S 11
31660 30382 D 16
20534 18451 T 14
39309 21255 D 8
5684 38416 D 1
13065 2410 D 8
9109 362 T 19
14498 1322 S 7
26386 33007 D 8
19740 17077 T 17
31879 25482 T 5
3088 28751 S 2
27166 4005 D 19
6414 1215 D 16
1576 20103 D 15
17776 10802 D 13
160 32956 T 2
6384 33237 T 6
18718 15522 D 8
4272 9184 D 10
9540 18079 D 12
15645 34217 T 12
14319 967 T 3
8120 25708 T 1
15015 3867 T 14
37104 37406 S 10
12928 38166 D 4
3701 20906 D 15
35336 25711 T 19
19927 9724 D 14
7042 6900 T 19
28960 4352 S 6
4570 7971 D 10
5376 34088 T 7
32253 4175 T 18
21432 22249 T 3
7960 27443 T 3
37166 5003 S 18
11903 30228 D 3
30931 35513 D 14
39835 22911 T 13
16998 3722 S 11
4249 774 S 3
19374 3453 T 17
30895 19250 S 8
24253 22757 D 4
9336 33395 T 16
25259 34554 T 12
17464 29291 S 2
33013 39223 S 16
36348 37971 D 8
1423 18091 S 4
37340 7328 S 15
26436 34403 D 10
27797 3817 S 13
38371 24507 D 6
13798 17506 T 4
16728 3062 S 15
37384 16065 T 18
34155 24553 T 18
28232 33258 T 8
24012 16240 T 7
20056 39178 T 14
23684 8419 D 2
25924 29962 S 17
29376 33767 D 12
6184 37225 T 13
18129 2094 T 6
31703 26678 D 15
2917 24167 T 13
19696 37792 S 1
6210 21065 D 5
11026 26909 T 4
17028 39566 T 10
33143 1780 D 17
225 788 D 2
23817 31360 S 3
11878 24218 D 12
18362 32861 T 4
13925 21219 D 15
8127 36896 D 13
32814 1566 D 3
3345 17320 D 14
14459 3912 T 12
31624 35841 T 4
16411 20118 T 18
12979 22729 D 9
3947 17806 S 12
11053 22612 S 18
20529 30998 S 12
4669 12455 D 1
16366 15643 T 16
11483 31463 T 9
7933 35619 S 8
18347 20118 D 12
34275 1426 T 14
20389 20647 S 16
7997 28069 T 15
523 4936 T 2
20578 34600 S 16
22415 18126 T 10
13744 20729 S 15
846 829 S 10
38606 1451 D 13
18449 38694 D 5
23115 37404 S 2
2340 16309 S 18
10908 3514 T 2
21639 20338 D 6
37418 20332 D 3
21161 34558 S 6
36008 19235 T 9
14281 11374 S 10
5129 25418 D 8
1726 6964 S 11
10477 34417 D 6
11106 15030 S 5
35362 4025 D 15
38582 29222 D 9
8457 24102 S 10
31827 35352 T 3
20769 33865 D 19
37180 27511 T 15
21928 26489 D 11
37870 9027 S 4
13051 1044 T 14
30266 35095 S 6
15548 37024 S 15
32375 30644 D 18
20860 37808 T 6
21671 12523 D 9
35363 7225 D 13
16252 27241 T 12
28285 28919 T 4
20365 28913 S 7
22288 24136 D 6
14779 33023 S 18
27183 5202 D 1
17725 28428 T 4
32004 34487 S 11
21728 29134 D 16
14404 23898 T 3
12810 27591 D 13
11726 19373 D 9
8747 22973 T 9
28174 24874 S 17
9653 6286 T 9
37125 21655 S 4
7140 36523 T 2
20420 2831 T 13
30421 36045 S 1
11769 23493 T 10
2817 32549 T 17
17422 10280 D 9
12918 4928 S 9
22935 24048 D 13
20570 10459 T 16
9641 24278 D 18
16674 7951 T 9
27795 16262 T 14
8810 18104 T 3
24735 7545 S 9
8825 23794 T 7
7841 25641 T 13
32451 29800 S 6
10430 12671 S 2
16973 37060 D 12
13321 20853 S 11
35308 9683 S 14
13580 3426 T 12
27220 14442 D 14
83 32345 D 7
18497 1923 D 6
14593 33126 T 15
30186 27924 D 10
8776 24413 T 18
30448 15757 S 15
19183 30874 T 11
5315 33295 S 4
21991 13986 T 11
15909 21609 T 8
14734 1792 T 18
29715 3805 S 12
24569 15820 D 14
27929 15753 T 1
6626 38175 D 10
27821 380 T 13
10718 37026 D 8
14986 32414 S 2
30557 24599 S 2
24755 24822 S 14
36994 3094 T 17
18846 36085 D 16
30611 30951 S 1
31330 32860 T 11
26238 31244 S 17
20009 34854 D 11
15804 10988 S 16
35809 31356 D 14
34449 26924 D 10
19360 38810 D 18
29760 14289 T 19
3500 12996 S 16
591 37216 S 15
32069 10957 S 3
21944 11055 D 18
2411 3719 S 8
26995 13685 D 17
12494 34326 S 18
8614 1077 D 5
14072 28238 S 12
25453 25513 D 3
32822 22777 T 15
30184 15582 T 10
19301 24831 T 2
38515 32309 D 8
26634 25324 D 16
26400 22011 D 15
6601 5562 S 16
27427 39451 T 10
18579 20374 S 10
35955 12937 D 4
37767 27159 T 7
19467 26901 D 1
8576 9605 T 5
27967 1411 D 7
6973 32339 D 13
28141 28897 S 12
9270 38713 T 18
11649 5892 S 6
33050 27435 T 8
14335 2039 D 8
7995 5370 S 17
6780 35090 T 2
27429 9851 T 11
35099 11851 D 17
6916 26825 S 19
32716 15477 S 2
39264 19081 D 2
17471 35006 S 18
36727 39800 D 3
34889 37361 T 13
3563 10816 T 18
19018 5581 D 6
28757 38026 D 11
9855 17883 D 19
36963 23627 T 10
14985 8278 T 9
8077 3083 D 8
36795 25179 S 12
35994 4927 S 18
10508 31100 T 17
29126 38144 S 4
12378 13379 S 15
33358 23515 D 10
31793 9079 S 3
8513 35269 S 2
16799 6228 D 18
11154 37385 T 2
28484 17801 T 17
12296 34364 S 1
4094 10092 S 7
33607 6841 S 19
12271 25844 D 5
17464 6213 T 16
12440 24458 S 9
18194 16614 D 2
30767 18882 D 8
9597 22634 T 6
32725 10803 S 11
13995 13284 S 7
35479 15108 D 18
17672 18547 T 14
39356 39663 D 11
16277 8012 D 16
23245 30272 D 4
9257 23246 S 12
34048 10375 T 10
23658 18153 T 19
33260 19468 D 16
34366 28337 S 11
27999 151 T 18
4515 17256 T 18
3880 6829 T 10
30074 16186 S 18
26560 21541 D 16
39693 4583 S 13
20402 10487 S 4
35175 26682 D 18
26832 5165 S 6
22420 24172 T 13
27352 28760 D 11
4945 39959 T 1
17851 15470 S 4
20052 16481 S 1
23319 36135 D 17
22816 12761 T 17
17925 18168 S 4
38692 5505 D 1
30616 11485 T 3
7796 37718 D 1
9539 17839 T 9
30671 2738 D 4
35225 37964 T 3
10725 30497 T 17
5017 14088 T 3
15944 1044 D 1
12528 25922 T 14
19991 21886 D 4
36076 1861 D 4
950 1865 T 16
39828 29566 S 14
20062 30956 D 7
5043 9953 S 8
10996 7591 D 19
33512 22368 D 13
605 35222 D 11
37082 18502 T 8
16718 20510 D 14
10075 4770 T 13
35726 8057 D 19
18009 29407 S 9
36997 34707 D 4
13427 38133 T 14
29707 39744 S 19
18245 26839 S 6
3701 15376 T 11
16497 24010 D 15
28418 4533 S 8
33939 16503 S 13
7562 29718 T 15
27850 14506 D 10
14249 31136 D 1
17975 21866 S 18
33593 24368 D 18
4729 32064 S 12
32948 20708 D 12
33563 24059 D 17
13776 28317 D 16
2822 2536 D 12
33672 12580 T 16
30797 18777 S 1
3144 21472 T 10
9887 38549 S 9
15609 33294 S 17
17352 36594 S 8
21262 21460 S 12
23995 37340 D 5
6271 32476 T 3
11252 15334 S 4
33158 37694 T 1
36243 12340 D 3
5634 21004 T 6
17598 24018 D 8
5477 35919 D 2
33258 5855 T 19
38331 25503 D 15
37189 3458 D 7
37503 28003 S 14
342 24674 D 18
5678 15671 T 7
36040 32127 S 7
28045 26835 S 16
32689 27179 T 18
12681 2830 D 17
2639 2689 S 4
30691 22659 S 5
3684 24889 S 2
36911 15022 S 2
3500 36528 T 4
19714 10860 S 16
34390 15433 T 1
18262 25781 T 6
24821 2561 D 18
21571 3983 T 16
25223 32604 T 10
3977 9009 D 7
5536 34957 S 2
2169 37271 S 16
12703 26479 S 11
8611 5975 D 11
4887 25610 T 8
25944 8186 T 18
37142 35380 D 8
4389 33791 T 10
28747 36668 D 15
33939 18231 D 17
4709 20156 T 15
22482 38525 T 11
20486 8393 T 4
12930 18238 T 3
9969 39951 T 6
30093 8838 D 1
5505 4861 T 15
23091 26282 S 1
2789 32744 S 3
31269 33273 S 17
38017 15518 D 19
30107 24834 S 18
21136 21261 D 11
30098 27768 T 10
28980 28876 T 3
15157 26536 S 9
19279 22744 T 14
12368 1261 S 12
13130 25891 T 17
7077 35049 D 12
12661 6797 D 3
30916 18562 T 18
7437 18812 D 16
5347 17239 T 18
36334 29160 D 14
30420 39232 S 10
21474 29469 D 12
20869 35501 T 2
38650 8905 T 12
27466 20054 S 7
38865 30479 T 1
4070 3438 S 8
28949 2119 S 16
37702 13595 T 17
39415 11459 T 7
6960 20838 T 13
26094 39155 T 15
19209 33688 S 9
20519 11361 T 9
11150 32879 D 4
31349 15853 S 5
25800 27790 S 9
39248 12300 D 15
33137 12013 T 7
11168 32396 D 19
22435 26655 S 6
38015 16139 S 14
5369 37938 D 8
13790 17784 S 16
1925 26694 T 4
35345 19355 D 11
27720 4602 T 9
36997 29555 D 8
16209 26765 D 16
39256 2627 S 14
564 18058 D 12
32193 12514 D 6
39207 20504 S 14
39859 31724 S 9
36325 16151 T 16
5705 4781 S 14
27897 27839 S 8
30465 37636 D 6
12045 18524 T 6
31037 37435 T 11
17939 22699 T 4
14423 33235 D 11
9385 20893 S 15
25673 5875 S 14
33713 11251 S 10
8886 21552 T 17
75 35050 S 11
32485 12576 T 4
35274 35204 D 2
24790 19000 S 15
39892 9918 D 14
12144 24378 S 13
31980 32556 T 2
14107 23349 S 17
14750 36015 T 9
8590 15701 D 10
7257 27634 S 1
6633 15761 T 4
22030 17243 S 13
1620 20275 T 7
9182 11820 D 18
31520 1664 T 2
37679 28168 D 12
3869 16566 D 14
552 1802 D 18
17562 14798 D 18
32040 31202 T 9
7828 22848 S 9
34667 7129 D 7
8792 19526 S 19
4046 35012 D 1
11578 980 T 4
2781 7615 T 17
18764 18427 T 7
5981 39105 S 6
18304 17128 T 6
20608 12874 D 10
28752 20665 S 6
15676 26718 D 14
27698 5155 S 11
9121 7749 S 3
22527 8865 T 7
7970 32206 T 9
5685 22187 S 5
31413 20157 D 2
821 33320 S 17
16390 2725 S 9
7879 28538 T 15
32638 27144 S 11
32360 32626 T 16
21183 2337 S 11
20875 11252 D 16
31408 10611 S 9
282 1761 S 12
4485 34233 D 4
19122 729 T 13
24224 19652 T 15
8630 23297 S 3
21985 32569 S 5
3820 18894 S 2
25856 299 T 12
2060 14291 T 15
8524 12621 T 14
13349 26380 D 10
6031 15382 T 11
38678 20121 D 18
12689 10206 T 5
25452 31369 D 18
28020 17301 D 3
31592 32956 T 18
5576 33640 T 1
20019 8922 D 1
20655 16056 S 13
36177 30588 D 15
794 8921 T 14
36641 15219 D 17
32519 31347 T 6
20654 416 T 9
34055 30095 D 16
39016 10702 S 15
26757 26239 T 14
16827 24403 S 8
29675 38930 D 14
10500 34118 T 10
21816 22064 D 9
22479 29463 T 13
19557 26552 T 3
37253 16137 S 8
38727 19004 T 1
39758 20499 T 4
15780 22443 D 14
16561 26721 D 18
8784 1832 D 13
31294 18597 T 10
5149 20162 D 6
32650 9425 T 1
28428 15112 S 5
31962 25508 D 8
7951 29715 D 5
12787 16020 T 4
17851 9138 S 7
27735 2388 S 1
22549 31177 S 8
601 3453 S 13
18564 2557 D 4
28065 23886 T 1
13600 8638 D 8
21009 28818 S 6
37956 6197 T 13
4936 9758 T 7
934 35614 S 18
39066 38309 S 15
866 36830 S 4
20715 35475 S 3
4112 34524 S 19
23341 14064 T 12
16612 17391 S 5
27148 3668 D 6
35634 766 T 14
39075 9230 T 19
2411 25889 T 17
21363 2868 S 16
37391 23546 T 2
33962 16334 T 8
30076 30771 T 6
34439 37501 D 10
38267 20324 D 1
29553 22505 T 15
8393 7908 S 9
10775 21582 T 11
1480 3936 T 14
20269 16329 D 17
3452 38132 D 5
31985 18276 T 5
38599 5434 T 18
27939 6630 T 17
10889 24258 S 6
2191 19427 D 11
23362 481 S 2
16810 5123 D 6
39606 26946 D 6
1573 38814 D 17
599 31190 S 19
34171 30195 D 19
10804 32713 T 1
12140 5603 S 13
6084 8478 D 1
9952 34863 T 10
18161 10358 T 18
5523 8394 D 7
39584 33633 D 2
20179 4933 S 7
37645 18237 T 7
23840 13344 S 7
21821 22527 T 13
13741 37727 T 10
4436 31531 D 13
39924 20593 D 9
10577 39791 D 11
1075 24777 D 17
3013 18417 S 15
31761 35547 S 6
18073 11348 S 18
9074 35737 D 1
27267 28051 T 4
4995 32248 S 8
28390 9013 S 7
33789 20766 D 4
39183 25742 S 16
21289 25834 S 4
37182 38931 T 12
34667 7592 T 18
35642 39581 T 18
28180 24875 D 3
33887 15236 D 18
36002 26921 S 16
9014 33535 T 4
19369 19704 D 14
18635 13540 S 14
21131 38919 T 16
34852 26116 T 17
7342 19023 S 13
34259 31041 D 14
14313 38784 T 16
28671 624 T 12
20327 35994 D 3
5886 95 D 6
35366 25607 D 9
8074 2956 T 3
21979 34607 T 5
25647 30951 D 17
26086 17346 S 8
17969 33265 T 14
29259 85 T 7
180 31277 S 17
13235 11355 S 19
14310 24415 D 6
19021 2419 D 17
33369 8075 T 19
21772 20616 D 18
13880 9707 T 18
9792 20698 D 19
11974 5848 T 5
13554 16683 T 8
37449 32292 D 19
34710 25730 S 19
30157 11171 T 8
31786 30796 T 2
503 2406 S 13
23103 28843 S 16
34690 3890 D 7
20572 8557 S 8
848 5664 T 3
27745 37385 T 14
8555 23868 S 15
11016 30552 S 1
29309 3863 S 11
29057 20186 S 18
24075 9528 S 18
14436 13502 S 12
19165 38914 D 14
36298 27176 S 15
7395 3694 S 5
34245 3900 T 11
4114 37145 S 14
17330 28856 D 8
34735 37961 S 2
11463 10474 D 8
9387 27994 S 4
15169 11402 T 8
11447 8432 S 1
12331 23604 T 14
20748 14263 D 17
39470 19235 S 13
17195 23642 T 6
34115 20530 D 8
4875 2227 T 8
